I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:216.000000, st:250.000000, x_swing:1359.695939, x_support:-1324.695939, z:24.038989
D/GAIT            []  SWING t:217.000000, st:250.000000, x_swing:1361.541981, x_support:-1326.541981, z:22.726696
D/GAIT            []  SWING t:218.000000, st:250.000000, x_swing:1363.285581, x_support:-1328.285581, z:21.444261
D/GAIT            []  SWING t:219.000000, st:250.000000, x_swing:1364.929130, x_support:-1329.929130, z:20.192495
D/GAIT            []  SWING t:220.000000, st:250.000000, x_swing:1366.475081, x_support:-1331.475081, z:18.972189
D/GAIT            []  SWING t:221.000000, st:250.000000, x_swing:1367.925947, x_support:-1332.925947, z:17.784113
D/GAIT            []  SWING t:222.000000, st:250.000000, x_swing:1369.284303, x_support:-1334.284303, z:16.629017
D/GAIT            []  SWING t:223.000000, st:250.000000, x_swing:1370.552783, x_support:-1335.552783, z:15.507632
D/GAIT            []  SWING t:224.000000, st:250.000000, x_swing:1371.734076, x_support:-1336.734076, z:14.420665
D/GAIT            []  SWING t:225.000000, st:250.000000, x_swing:1372.830927, x_support:-1337.830927, z:13.368804
D/GAIT            []  SWING t:226.000000, st:250.000000, x_swing:1373.846135, x_support:-1338.846135, z:12.352712
D/GAIT            []  SWING t:227.000000, st:250.000000, x_swing:1374.782548, x_support:-1339.782548, z:11.373031
D/GAIT            []  SWING t:228.000000, st:250.000000, x_swing:1375.643067, x_support:-1340.643067, z:10.430380
D/GAIT            []  SWING t:229.000000, st:250.000000, x_swing:1376.430638, x_support:-1341.430638, z:9.525355
D/GAIT            []  SWING t:230.000000, st:250.000000, x_swing:1377.148256, x_support:-1342.148256, z:8.658527
D/GAIT            []  SWING t:231.000000, st:250.000000, x_swing:1377.798958, x_support:-1342.798958, z:7.830443
D/GAIT            []  SWING t:232.000000, st:250.000000, x_swing:1378.385823, x_support:-1343.385823, z:7.041627
D/GAIT            []  SWING t:233.000000, st:250.000000, x_swing:1378.911974, x_support:-1343.911974, z:6.292577
D/GAIT            []  SWING t:234.000000, st:250.000000, x_swing:1379.380567, x_support:-1344.380567, z:5.583766
D/GAIT            []  SWING t:235.000000, st:250.000000, x_swing:1379.794797, x_support:-1344.794797, z:4.915642
D/GAIT            []  SWING t:236.000000, st:250.000000, x_swing:1380.157896, x_support:-1345.157896, z:4.288626
D/GAIT            []  SWING t:237.000000, st:250.000000, x_swing:1380.473123, x_support:-1345.473123, z:3.703115
D/GAIT            []  SWING t:238.000000, st:250.000000, x_swing:1380.743770, x_support:-1345.743770, z:3.159478
D/GAIT            []  SWING t:239.000000, st:250.000000, x_swing:1380.973159, x_support:-1345.973159, z:2.658060
D/GAIT            []  SWING t:240.000000, st:250.000000, x_swing:1381.164634, x_support:-1346.164634, z:2.199176
D/GAIT            []  SWING t:241.000000, st:250.000000, x_swing:1381.321566, x_support:-1346.321566, z:1.783116
D/GAIT            []  SWING t:242.000000, st:250.000000, x_swing:1381.447346, x_support:-1346.447346, z:1.410144
D/GAIT            []  SWING t:243.000000, st:250.000000, x_swing:1381.545387, x_support:-1346.545387, z:1.080495
D/GAIT            []  SWING t:244.000000, st:250.000000, x_swing:1381.619117, x_support:-1346.619117, z:0.794376
D/GAIT            []  SWING t:245.000000, st:250.000000, x_swing:1381.671980, x_support:-1346.671980, z:0.551969
D/GAIT            []  SWING t:246.000000, st:250.000000, x_swing:1381.707435, x_support:-1346.707435, z:0.353428
D/GAIT            []  SWING t:247.000000, st:250.000000, x_swing:1381.728949, x_support:-1346.728949, z:0.198876
D/GAIT            []  SWING t:248.000000, st:250.000000, x_swing:1381.740000, x_support:-1346.740000, z:0.088412
D/GAIT            []  SWING t:249.000000, st:250.000000, x_swing:1381.744073, x_support:-1346.744073, z:0.022106
